route_id,stop_id,stop_name,stop_sequence,distance_to_next_stop,travel_time_to_next_stop
394-203,2928-c49936fe,Pukekohe Library,2,0.3719966749329561,0.7833333333333333
394-203,2888-e045a4e2,Countdown Pukekohe,3,0.15592466065541397,0.2833333333333333
394-203,2832-70c5fb58,Reformed Church of Pukekohe,4,0.3367896405116836,0.5166666666666667
394-203,2844-c5c06611,St Joseph's Catholic School,5,0.4257161978272061,0.6833333333333333
394-203,2836-995003f2,Seddon Street/Paerata Road,6,0.20969448362476162,0.4166666666666667
394-203,2834-8e65768f,New World Pukekohe,7,1.0452401495809063,1.6
394-203,2380-efbdf952,Butcher Road,8,0.5767768388650293,0.9166666666666666
394-203,2865-13391d53,Heights Road,9,0.7191419658220427,1.2166666666666666
394-203,2900-10702c0a,Anchor Road,10,0.30597690497132085,0.48333333333333334
394-203,2828-3a010db0,1048 Paerata Road,11,0.3094639992095704,0.48333333333333334
394-203,2822-7a7f3e5d,Crown Road,12,0.26109938649015724,0.4166666666666667
