route_id,stop_id,stop_name,stop_sequence
94-203,4110-651b98e2,Willow Avenue,23
94-203,4210-0897c372,Roseberry Avenue,24
94-203,4013-e1e209c3,New World Birkenhead,25
94-203,4130-04adb43d,Balmain Road,26
94-203,4132-c8d174e5,Kauri Road,27
94-203,4134-b2f9e4dd,Verrans Corner,28
25L-202,7139-e360d6b5,Lynfield Reserve,1
25L-202,8695-ca2ced32,The Avenue,2
25L-202,8693-c92bc54c,Commodore Drive,3
25L-202,8691-072762e5,Iberia Place,4
25L-202,8689-141d1cf1,Himalaya Crescent,5
25L-202,8687-55bb130e,Manukau Domain,6
25L-202,8685-fb41f304,Halsey Drive,7
25L-202,8683-81535039,Oriana Avenue,8
25L-202,8681-73ddb00d,Canberra Avenue,9
25L-202,8677-4f6bdddf,James Tyler Crescent,10
25L-202,8679-8d7259d2,Cape Horn Road,11
25L-202,8451-793d4f7f,Hillsborough Heights Village,12
25L-202,8449-4ef496b0,Glenveagh Drive,13
25L-202,8447-3370032a,Glass Road,14
25L-202,8445-6b7c2345,Budgen Street,15
25L-202,8443-d3fed835,Dominion Road/Richardson Road,16
25L-202,8441-0e2b8acf,Mount Roskill Fire Station,17
25L-202,8439-96597e19,Youth Street,18
25L-202,8437-017578d1,Puketapapapa,19
25L-202,8435-bd99e259,Denbigh Avenue Roundabout,20
25L-202,8433-045055d5,Memorial Avenue,21
25L-202,8431-050907ba,Mount Roskill Shops,22
25L-202,8429-c521b18d,Louvain Avenue,23
25L-202,8427-debbae1c,Kings Road,24
25L-202,8425-15788731,Landscape Road,25
25L-202,8423-97153dae,Halesowen Avenue,26
25L-202,8421-69264ac6,Telford Avenue,27
25L-202,8419-5d02c2ad,Balmoral Shops,28
25L-202,8417-c5f97aa1,Potters Park,29
25L-202,8415-65545ca0,St Albans Church,30
25L-202,8413-51b2fa12,Mount Eden Methodist Church,31
25L-202,8411-27da8c3d,Ballantyne Square,32
25L-202,8407-e5857898,Stop A Valley Road Shops,33
25L-202,8405-eba9adde,View Road/Dominion Road,34
25L-202,8403-04d67b79,Horoeka Avenue,35
25L-202,8401-9ee0a96b,Ficino School,36
25L-202,8505-5bfeb2fa,Kelly Street,37
25L-202,8503-d4c66d96,Akiraho Street,38
25L-202,8501-bc9f89ab,Powerstation,39
25L-202,7151-93995941,Symonds Street/Upper Symonds Street,40
25L-202,7149-6d6d1e99,Symonds Street/Karangahape Road,41
25L-202,7147-4e9003b4,Stop E Auckland Universities,42
25L-202,7089-8ec85023,AUT City Campus,43
25L-202,7058-d68c50d8,Aotea Square,44
394-203,2716-29bbacfe,Papakura Station,1
394-203,2831-6006f5cd,Paerata School,2
394-203,2833-79b12a1b,Simmonds House Road,3
394-203,2896-8856a802,Wesley College,4
394-203,2867-794dd3d7,Crown Road,5
394-203,2863-be83ae36,Anchor Road,6
394-203,2841-eb4ef8df,Butcher Road,7
394-203,2859-e7a28354,Adams Drive,8
394-203,2485-1e9e7ace,Seddon Street/Paerata Road,9
394-203,2849-aea74ede,St Joseph's Catholic School,10
394-203,2843-9525c3b8,Reformed Church of Pukekohe,11
394-203,2898-4b930cb0,Countdown Pukekohe,12
394-203,2929-7be58f7d,Pukekohe Library,13
394-203,2850-3422d278,Pukekohe Station,14
917-203,4227-0e16a7e9,Stop C Albany Bus Station,1
917-203,4299-45745e03,Munroe Lane,2
917-203,4260-547b67da,Westfield Albany,3
917-203,3742-a592e76b,Civic Crescent,4
917-203,3587-5ce383f6,Northridge Plaza,5
917-203,3586-e968aba6,Albany Mega Centre,6
917-203,4245-15eb5db8,North Harbour Stadium,7
917-203,4214-230439df,Massey University,8
917-203,3565-65ac079e,Massey University,9
917-203,3578-83369bce,Albany Village,10
917-203,4423-b49487ed,Albany Senior High School,11
917-203,3571-a3bf69ad,Summerfield Lane,12
917-203,4079-e82aea2a,Bass Road,13
917-203,3577-67284356,Princeton Parade,14
917-203,3579-ee305720,Kristin School,15
917-203,3581-9c3282e4,Oak Manor Drive,16
917-203,3583-11752802,Albany Junior High School,17
917-203,3585-b096a30e,Albany Highway/Schnapper Rock Road,18
917-203,3629-1b7787ab,Rothwell Avenue,19
917-203,3597-54e5baab,Upper Harbour Highway,20
917-203,3705-14eed173,Upper Harbour Drive,21
917-203,3699-d565dcce,Westminster Christian School,22
917-203,3707-fe97c727,Sunset Road,23
917-203,3709-b36b5b3e,Glenfield Road/James Street,24
917-203,3871-11ebdb95,Glenfield Road/Wairau Road,25
917-203,3873-a27af2f5,Hogans Road,26
917-203,3875-7f281331,461 Glenfield Road,27
917-203,4010-879b57fd,Glenfield Mall,28
917-203,3883-bc470485,High Road,29
917-203,3885-45741e02,Oruamo Domain,30
917-203,3887-c636421d,Roberts Road,31
917-203,3889-41f01a46,Coronation Road,32
917-203,3891-c67c84fc,Speedy Crescent,33
