route_id,stop_id,stop_name,stop_sequence,stop_lat,stop_lon,travel_time_to_next_stop,distance_to_next_stop
111-206,5592-477fabad,Kintara Drive,14,-36.83625,174.63305,0.9,0.45912934668529093
111-206,5594-e2db4cfe,Spargo Road,15,-36.8333,174.63614,0.95,0.4828263784332826
111-206,5581-6dceba32,Spargo Road,16,-36.83066,174.63319,0.5,0.25729996948231965
111-206,1666-73ee8230,Moire Park,17,-36.83042,174.63115,0.85,0.4329461381340616
111-206,1668-97935e70,Petrel Place walkway,18,-36.82903,174.62726,0.6666666666666666,0.3415451455903554
111-206,1670-7443faaf,Moire Road,19,-36.82784,174.62406,0.48333333333333334,0.24570075606965952
111-206,5637-5d9e4a97,Glenbury Place,20,-36.82911,174.62288,0.7333333333333333,0.3768304057490833
111-206,5635-dcfe95ca,Good Shepherd Anglican Church,21,-36.83227,174.62178,0.9333333333333333,0.47498222122253225
111-206,5571-a3144d16,Royal Road School,22,-36.83192,174.61712,0.7,0.3582804248797807
111-206,1591-916cb3b8,Mcwhirters Farm Lane,23,-36.82983,174.61589,0.6833333333333333,0.35059947390780544
111-206,1593-c93038b9,Alloway Street,24,-36.82694,174.61506,0.6333333333333333,0.3165549666944739
111-206,1595-09e7b151,Tihema Lane,25,-36.82428,174.61516,0.7,0.361418721454033
111-206,1597-03dc6bd7,Maki Street South,26,-36.82226,174.61292,0.5,0.25338388343946866
